order_id,customer_id,product_id,order_date,quantity,price,discount,revenue
1,1,50,2023-08-09,2,724.46,0,1448.92
2,2,36,2023-07-11,1,505.85,20,404.68
3,3,28,2023-07-22,1,212.66,15,180.76
4,4,25,2023-04-23,2,113.47,5,215.59
5,5,34,2024-01-27,3,972.94,10,2626.94
6,6,19,2023-11-29,3,647.69,10,1748.76
7,7,27,2023-04-07,1,235.24,10,211.72
8,8,8,2023-11-23,2,748.92,10,1348.06
9,9,45,2023-11-15,2,241.59,0,483.18
10,10,10,2023-01-26,3,46.11,0,138.33
11,11,19,2023-05-18,1,863.93,0,863.93
12,12,15,2023-02-16,1,37.38,5,35.51
13,13,22,2023-08-04,2,947.16,15,1610.17
14,14,24,2023-08-26,3,953.88,10,2575.48
15,15,6,2024-03-07,1,86.13,15,73.21
16,16,5,2023-10-06,2,234.29,10,421.72
17,17,25,2024-02-29,1,163.91,5,155.71
18,18,25,2024-01-30,2,311.65,0,623.3
19,19,13,2023-08-24,3,929.78,20,2231.47
20,20,43,2023-04-17,2,479.17,10,862.51
21,21,21,2023-03-23,3,879.32,20,2110.37
22,22,34,2023-03-04,2,587.85,10,1058.13
23,23,13,2023-07-04,1,1039.12,5,987.16
24,24,8,2023-05-01,3,532.31,0,1596.93
25,25,11,2024-02-11,2,709.94,15,1206.9
26,26,16,2023-01-05,1,705.67,15,599.82
27,27,45,2023-11-02,1,458.25,0,458.25
28,28,16,2023-03-22,2,127.85,20,204.56
29,29,22,2024-04-21,3,90.86,10,245.32
30,30,42,2023-03-20,3,652.9,0,1958.7
31,31,9,2023-09-07,1,393.75,20,315
32,32,42,2024-01-23,2,970.52,15,1649.88
33,33,47,2023-04-09,1,833.31,10,749.98
34,34,47,2023-03-10,2,1080.42,15,1836.71
35,35,46,2023-08-13,3,367.76,15,937.79
36,36,13,2023-10-18,1,661.47,10,595.32
37,37,47,2023-08-28,2,1043.84,20,1670.14
38,38,36,2023-03-24,1,646.74,15,549.73
39,39,19,2024-02-24,2,659.1,15,1120.47
40,40,1,2024-02-02,3,617.03,5,1758.54
41,41,2,2023-11-14,2,935.7,5,1777.83
42,42,21,2024-01-05,1,796.78,20,637.42
43,43,25,2023-04-08,3,826.2,20,1982.88
44,44,10,2023-11-10,2,400.67,10,721.21
45,45,8,2023-02-19,3,797.49,0,2392.47
46,46,9,2023-04-02,1,258.45,15,219.68
47,47,13,2023-02-20,1,693.79,15,589.72
48,48,43,2023-09-08,3,756.29,20,1815.1
49,49,17,2023-01-26,2,280.45,0,560.9
50,50,1,2024-04-21,1,793.78,0,793.78
51,51,30,2024-02-15,3,91.63,20,219.91
52,52,48,2024-04-25,2,989.99,0,1979.98
53,53,40,2023-05-17,3,67.97,0,203.91
54,54,20,2023-02-09,1,1153.49,0,1153.49
55,55,7,2024-01-07,1,647.36,5,614.99
56,56,13,2023-09-27,3,313.54,5,893.59
57,57,36,2024-01-19,3,509.92,0,1529.76
58,58,50,2023-11-23,3,442.4,15,1128.12
59,59,45,2023-12-07,2,1061.73,5,2017.29
60,60,12,2023-10-09,2,615.54,5,1169.53
61,61,35,2023-11-04,2,1121.55,10,2018.79
62,62,36,2023-06-16,2,506.57,15,861.17
63,63,47,2023-06-15,3,304.05,20,729.72
64,64,14,2023-07-12,3,1112.85,10,3004.69
65,65,24,2024-05-07,2,548.05,15,931.68
66,66,1,2024-01-07,1,1179.89,20,943.91
67,67,2,2023-09-23,1,1192.23,10,1073.01
68,68,1,2023-06-03,1,273.49,10,246.14
69,69,2,2024-01-31,3,990.36,20,2376.86
70,70,33,2023-10-12,3,1112.59,5,3170.88
71,71,7,2023-01-20,2,439.67,5,835.37
72,72,17,2023-07-07,3,314.83,10,850.04
73,73,20,2023-02-17,3,491.76,5,1401.52
74,74,47,2023-02-09,3,403.14,15,1028.01
75,75,12,2023-09-07,3,849.36,0,2548.08
76,76,39,2023-11-25,2,64.1,20,102.56
77,77,25,2023-02-10,1,1107.81,10,997.03
78,78,23,2024-03-26,2,511.5,0,1023
79,79,50,2023-04-27,3,790.28,20,1896.67
80,80,1,2023-11-21,3,471.33,10,1272.59
81,81,34,2023-01-22,2,657.12,5,1248.53
82,82,21,2023-09-15,3,280.54,0,841.62
83,83,44,2024-01-10,2,1165.83,20,1865.33
84,84,37,2023-09-16,1,282.06,10,253.85
85,85,26,2023-03-17,1,416.68,15,354.18
86,86,37,2024-01-17,1,666.82,10,600.14
87,87,6,2023-07-24,3,532.7,5,1518.2
88,88,49,2023-03-11,2,679.97,15,1155.95
89,89,26,2023-11-30,3,251.4,20,603.36
90,90,48,2023-09-26,1,305.93,10,275.34
91,91,50,2023-08-09,2,827.99,20,1324.78
92,92,6,2023-02-27,3,508.03,10,1371.68
93,93,23,2023-04-08,2,426.54,0,853.08
94,94,50,2023-06-06,1,1185.43,20,948.34
95,95,29,2023-11-16,1,539.75,5,512.76
96,96,13,2023-12-17,2,204.07,0,408.14
97,97,8,2024-01-14,1,306.8,20,245.44
98,98,10,2024-03-20,2,36.21,0,72.42
99,99,20,2023-08-19,2,46.84,5,89
100,100,48,2023-10-03,1,260.49,20,208.39
101,101,49,2023-05-13,3,589.97,5,1681.41
102,102,45,2023-12-24,3,41.7,20,100.08
103,103,43,2023-09-27,1,321.44,0,321.44
104,104,19,2023-04-13,3,749.2,0,2247.6
105,105,30,2023-12-02,1,98.59,10,88.73
106,106,43,2024-03-12,3,445.06,0,1335.18
