product_id,product_name,category,price
1,Beauty_Product_1,Beauty,955.34
2,Electronics_Product_2,Electronics,612.17
3,Home_Product_3,Home,539.08
4,Home_Product_4,Home,110.96
5,Fashion_Product_5,Fashion,269.59
6,Home_Product_6,Home,205.68
7,Electronics_Product_7,Electronics,800.11
8,Beauty_Product_8,Beauty,977.18
9,Electronics_Product_9,Electronics,588.19
10,Beauty_Product_10,Beauty,585.24
11,Home_Product_11,Home,783.77
12,Beauty_Product_12,Beauty,46.49
13,Electronics_Product_13,Electronics,170.9
14,Home_Product_14,Home,178.97
15,Electronics_Product_15,Electronics,1071.14
16,Home_Product_16,Home,85.98
17,Fashion_Product_17,Fashion,1108.49
18,Beauty_Product_18,Beauty,727.24
19,Electronics_Product_19,Electronics,1056.64
20,Fashion_Product_20,Fashion,1137.76
21,Home_Product_21,Home,550.06
22,Beauty_Product_22,Beauty,1043.42
23,Home_Product_23,Home,278.85
24,Beauty_Product_24,Beauty,728.99
25,Home_Product_25,Home,755.39
26,Fashion_Product_26,Fashion,217.91
27,Fashion_Product_27,Fashion,1108.38
28,Electronics_Product_28,Electronics,291.18
29,Beauty_Product_29,Beauty,176.01
30,Electronics_Product_30,Electronics,258.77
31,Beauty_Product_31,Beauty,995.29
32,Electronics_Product_32,Electronics,229.36
33,Electronics_Product_33,Electronics,1055.75
34,Electronics_Product_34,Electronics,129.96
35,Home_Product_35,Home,1084.34
36,Electronics_Product_36,Electronics,1078.42
37,Beauty_Product_37,Beauty,636.01
38,Fashion_Product_38,Fashion,1052.29
39,Beauty_Product_39,Beauty,290.79
40,Beauty_Product_40,Beauty,951.68
41,Beauty_Product_41,Beauty,433.61
42,Electronics_Product_42,Electronics,522.08
43,Fashion_Product_43,Fashion,583.03
44,Home_Product_44,Home,1093.9
45,Electronics_Product_45,Electronics,354.25
46,Beauty_Product_46,Beauty,324.21
47,Electronics_Product_47,Electronics,856.8
48,Electronics_Product_48,Electronics,702.02
49,Electronics_Product_49,Electronics,633.32
50,Beauty_Product_50,Beauty,792.36
